model_size,mode,context_length,non_matmul_rank,kernel_family,time_percent,total_time_ns,instances_captured,measured_passes,calls_per_forward,avg_ns,kernel_name,source_csv
small,forward_only,512,4,vectorized_elementwise,3.2,29260699,120,10,12.0,243839.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,5,softmax_exp/vectorized_elementwise,3.2,29240149,120,10,12.0,243667.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,6,elementwise,3.2,28905136,120,10,12.0,240876.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,7,mask_where/elementwise,2.5,22631468,120,10,12.0,188595.6,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,8,vectorized_elementwise,2.3,21510304,720,10,72.0,29875.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,9,reduction,1.7,15618924,120,10,12.0,130157.7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4, (int)4>>(T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,10,reduction,1.6,15072234,120,10,12.0,125601.9,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,1024,1,elementwise,5.2,118552106,120,10,12.0,987934.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,2,elementwise,5.1,116582633,120,10,12.0,971521.9,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,3,vectorized_elementwise,5.1,116533257,120,10,12.0,971110.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,4,softmax_exp/vectorized_elementwise,5.1,116530177,120,10,12.0,971084.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,5,mask_where/elementwise,4.7,107606349,120,10,12.0,896719.6,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,6,vectorized_elementwise,3.8,87040508,240,10,24.0,362668.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,7,elementwise,3.4,77590134,1460,10,146.0,53143.9,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,8,reduction,2.6,57861427,120,10,12.0,482178.6,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4, (int)4>>(T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,9,reduction,2.5,56947135,120,10,12.0,474559.5,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,10,vectorized_elementwise,2.0,44768279,720,10,72.0,62178.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
