step,elapsed_seconds,split,loss,learning_rate
100,16.005724629,train,3.119626760482788,0.0012375
100,16.005724629,valid,3.1200265884399414,0.0012375
200,30.470992928,train,2.4883477687835693,0.0012497224402057243
200,30.470992928,valid,2.4855310916900635,0.0012497224402057243
300,44.928310738,train,2.2441835403442383,0.0012488787983935836
300,44.928310738,valid,2.239985227584839,0.0012488787983935836
400,59.389321482999996,train,2.1074037551879883,0.0012474698957175043
400,59.389321482999996,valid,2.1137218475341797,0.0012474698957175043
500,73.851298995,train,2.024611234664917,0.0012454971508230528
500,73.851298995,valid,2.025603771209717,0.0012454971508230528
600,88.305662062,train,1.9648624658584595,0.0012429625500971157
600,88.305662062,valid,1.9688934087753296,0.0012429625500971157
700,102.74564613199999,train,1.9164718389511108,0.0012398686456677743
700,102.74564613199999,valid,1.9182358980178833,0.0012398686456677743
800,117.20458088199999,train,1.8757025003433228,0.0012362185528345315
800,117.20458088199999,valid,1.8901441097259521,0.0012362185528345315
900,131.665579482,train,1.8540509939193726,0.0012320159469314637
900,131.665579482,valid,1.8408912420272827,0.0012320159469314637
1000,146.155055861,train,1.8248823881149292,0.0012272650596264765
1000,146.155055861,valid,1.8338947296142578,0.0012272650596264765
1100,160.937695187,train,1.8041887283325195,0.0012219706746603703
1100,160.937695187,valid,1.813938021659851,0.0012219706746603703
1200,175.407573958,train,1.7854788303375244,0.0012161381230300205
1200,175.407573958,valid,1.7852121591567993,0.0012161381230300205
1300,189.864773644,train,1.7735899686813354,0.0012097732776205142
1300,189.864773644,valid,1.776519536972046,0.0012097732776205142
1400,204.298993078,train,1.7560875415802002,0.001202882547291654
1400,204.298993078,valid,1.7622157335281372,0.001202882547291654
1500,218.729907527,train,1.7303375005722046,0.0011954728704247786
1500,218.729907527,valid,1.7431707382202148,0.0011954728704247786
1600,233.176956984,train,1.715470552444458,0.0011875517079364024
1600,233.176956984,valid,1.740900993347168,0.0011875517079364024
1700,247.62329770399998,train,1.705291509628296,0.0011791270357657023
1700,247.62329770399998,valid,1.710026502609253,0.0011791270357657023
1800,262.055015872,train,1.7094172239303589,0.0011702073368434255
1800,262.055015872,valid,1.7016425132751465,0.0011702073368434255
1900,276.502574465,train,1.6964867115020752,0.001160801592550296
1900,276.502574465,valid,1.6950703859329224,0.001160801592550296
2000,290.956764571,train,1.689733624458313,0.0011509192736735268
2000,290.956764571,valid,1.672329306602478,0.0011509192736735268
2100,305.716245368,train,1.6712270975112915,0.0011405703308705376
2100,305.716245368,valid,1.6678776741027832,0.0011405703308705376
2200,320.157940795,train,1.6606762409210205,0.0011297651846494893
2200,320.157940795,valid,1.6620711088180542,0.0011297651846494893
2300,334.591896653,train,1.6455966234207153,0.001118514714876714
2300,334.591896653,valid,1.6522799730300903,0.001118514714876714
2400,349.053837902,train,1.645871877670288,0.00110683024982161
2400,349.053837902,valid,1.647052526473999,0.00110683024982161
2500,363.52439252199997,train,1.6293796300888062,0.0010947235547500392
2500,363.52439252199997,valid,1.6336965560913086,0.0010947235547500392
2600,377.979627386,train,1.620194435119629,0.0010822068200776976
2600,377.979627386,valid,1.6307563781738281,0.0010822068200776976
2700,392.42760318,train,1.611400842666626,0.0010692926490954023
2700,392.42760318,valid,1.6104881763458252,0.0010692926490954023
2800,406.87569901899997,train,1.6172772645950317,0.0010559940452786452
2800,406.87569901899997,valid,1.617529273033142,0.0010559940452786452
2900,421.313031128,train,1.6044187545776367,0.001042324399194195
2900,421.313031128,valid,1.5977885723114014,0.001042324399194195
3000,435.745587307,train,1.6046465635299683,0.0010282974750169325
3000,435.745587307,valid,1.6075537204742432,0.0010282974750169325
3100,450.471721593,train,1.5853443145751953,0.001013927396670493
3100,450.471721593,valid,1.5955983400344849,0.001013927396670493
3200,464.981465173,train,1.5779746770858765,0.000999228633605672
3200,464.981465173,valid,1.5766013860702515,0.000999228633605672
3300,479.434387928,train,1.5924220085144043,0.0009842159862309147
3300,479.434387928,valid,1.5787701606750488,0.0009842159862309147
3400,493.867845214,train,1.5711848735809326,0.0009689045710095602
3400,493.867845214,valid,1.5766996145248413,0.0009689045710095602
3500,508.303185163,train,1.5638518333435059,0.000953309805238843
3500,508.303185163,valid,1.5680181980133057,0.000953309805238843
3600,522.740239251,train,1.5618572235107422,0.0009374473915259826
3600,522.740239251,valid,1.5631699562072754,0.0009374473915259826
3700,537.172996216,train,1.5586135387420654,0.0009213333019769889
3700,537.172996216,valid,1.556505799293518,0.0009213333019769889
3800,551.6084700040001,train,1.542318344116211,0.0009049837621141045
3800,551.6084700040001,valid,1.5627856254577637,0.0009049837621141045
3900,566.0559574130001,train,1.5544867515563965,0.0008884152345380803
3900,566.0559574130001,valid,1.5462299585342407,0.0008884152345380803
4000,580.5097476230001,train,1.5342509746551514,0.0008716444023517313
4000,580.5097476230001,valid,1.5436493158340454,0.0008716444023517313
4100,595.2629651530001,train,1.533840537071228,0.0008546881523614668
4100,595.2629651530001,valid,1.536113977432251,0.0008546881523614668
4200,609.7188452380001,train,1.5279197692871094,0.0008375635580737072
4200,609.7188452380001,valid,1.527479648590088,0.0008375635580737072
4300,624.22037407,train,1.5242379903793335,0.0008202878625033106
4300,624.22037407,valid,1.526533842086792,0.0008202878625033106
4400,638.6734593570001,train,1.5178916454315186,0.0008028784608113181
4400,638.6734593570001,valid,1.5206060409545898,0.0008028784608113181
4500,653.144964296,train,1.5145392417907715,0.000785352882789502
4500,653.144964296,valid,1.5205328464508057,0.000785352882789502
4600,667.639274666,train,1.5112191438674927,0.0007677287752093505
4600,667.639274666,valid,1.516451358795166,0.0007677287752093505
4700,682.138680601,train,1.5052001476287842,0.0007500238840532652
4700,682.138680601,valid,1.5010753870010376,0.0007500238840532652
4800,696.64660633,train,1.503453254699707,0.0007322560366458611
4800,696.64660633,valid,1.5053845643997192,0.0007322560366458611
4900,711.1436525290001,train,1.4976420402526855,0.0007144431237033612
4900,711.1436525290001,valid,1.5092718601226807,0.0007144431237033612
5000,725.652412164,train,1.4939392805099487,0.0006966030813191631
5000,725.652412164,valid,1.4930464029312134,0.0006966030813191631
5100,740.4573230310001,train,1.4906316995620728,0.0006787538729037116
5100,740.4573230310001,valid,1.490229606628418,0.0006787538729037116
5200,754.9885029120001,train,1.4768469333648682,0.0006609134710968685
5200,754.9885029120001,valid,1.4981735944747925,0.0006609134710968685
5300,769.4949272880001,train,1.486263394355774,0.0006430998396709875
5300,769.4949272880001,valid,1.4912116527557373,0.0006430998396709875
5400,784.0055633510001,train,1.4685813188552856,0.0006253309154429175
5400,784.0055633510001,valid,1.4755232334136963,0.0006253309154429175
5500,798.5129730430001,train,1.4705390930175781,0.0006076245902131485
5500,798.5129730430001,valid,1.4800795316696167,0.0006076245902131485
5600,813.015108554,train,1.4758530855178833,0.0005899986927502865
5600,813.015108554,valid,1.476549744606018,0.0005899986927502865
5700,827.514998416,train,1.473130464553833,0.000572470970838993
5700,827.514998416,valid,1.4745041131973267,0.000572470970838993
5800,842.013571497,train,1.4627221822738647,0.0005550590734094714
5800,842.013571497,valid,1.4724022150039673,0.0005550590734094714
5900,856.522433793,train,1.4561779499053955,0.0005377805327664899
5900,856.522433793,valid,1.4671440124511719,0.0005377805327664899
6000,871.03697982,train,1.4542536735534668,0.0005206527469358367
6000,871.03697982,valid,1.4582678079605103,0.0005206527469358367
6100,885.8500793620001,train,1.4540306329727173,0.000503692962145983
6100,885.8500793620001,valid,1.4562031030654907,0.000503692962145983
6200,900.36850443,train,1.4407436847686768,0.00048691825546259273
6200,900.36850443,valid,1.4571243524551392,0.00048691825546259273
6300,914.890357866,train,1.4330809116363525,0.00047034551759336546
6300,914.890357866,valid,1.4443153142929077,0.00047034551759336546
6400,929.4165308700001,train,1.4362258911132812,0.00045399143588052427
6400,929.4165308700001,valid,1.4379287958145142,0.00045399143588052427
