timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/28 20:33:01.301, 96 %, 64 %, 3330 MiB, 8192 MiB, 109.64 W, 86, 1320 MHz, 7000 MHz
2026/05/28 20:33:02.386, 96 %, 60 %, 3330 MiB, 8192 MiB, 109.73 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:33:03.393, 93 %, 62 %, 3330 MiB, 8192 MiB, 109.25 W, 86, 1590 MHz, 7000 MHz
2026/05/28 20:33:04.397, 96 %, 63 %, 3330 MiB, 8192 MiB, 110.15 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:33:05.467, 98 %, 65 %, 3330 MiB, 8192 MiB, 110.14 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:33:06.557, 94 %, 62 %, 3330 MiB, 8192 MiB, 105.57 W, 86, 1470 MHz, 7000 MHz
2026/05/28 20:33:07.648, 93 %, 63 %, 3330 MiB, 8192 MiB, 107.41 W, 86, 1380 MHz, 7000 MHz
2026/05/28 20:33:08.738, 96 %, 62 %, 3330 MiB, 8192 MiB, 111.44 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:33:09.833, 95 %, 62 %, 3330 MiB, 8192 MiB, 110.76 W, 86, 1440 MHz, 7000 MHz
2026/05/28 20:33:10.883, 93 %, 61 %, 3330 MiB, 8192 MiB, 92.36 W, 86, 1320 MHz, 7000 MHz
2026/05/28 20:33:11.888, 94 %, 62 %, 3330 MiB, 8192 MiB, 111.82 W, 86, 1515 MHz, 7000 MHz
2026/05/28 20:33:12.892, 97 %, 59 %, 3330 MiB, 8192 MiB, 105.88 W, 85, 1320 MHz, 7000 MHz
2026/05/28 20:33:13.979, 96 %, 60 %, 3330 MiB, 8192 MiB, 104.11 W, 86, 1455 MHz, 7000 MHz
2026/05/28 20:33:15.068, 95 %, 62 %, 3330 MiB, 8192 MiB, 106.59 W, 86, 1470 MHz, 7000 MHz
2026/05/28 20:33:16.156, 95 %, 58 %, 3330 MiB, 8192 MiB, 107.48 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:33:15.275, 94 %, 62 %, 3330 MiB, 8192 MiB, 106.27 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:33:16.364, 95 %, 61 %, 3330 MiB, 8192 MiB, 109.24 W, 86, 1500 MHz, 7000 MHz
2026/05/28 20:33:17.458, 96 %, 60 %, 3330 MiB, 8192 MiB, 103.71 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:33:18.547, 97 %, 63 %, 3330 MiB, 8192 MiB, 113.39 W, 86, 1305 MHz, 7000 MHz
2026/05/28 20:33:19.573, 96 %, 63 %, 3330 MiB, 8192 MiB, 108.01 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:33:20.577, 92 %, 60 %, 3330 MiB, 8192 MiB, 106.39 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:33:21.611, 97 %, 63 %, 3330 MiB, 8192 MiB, 106.98 W, 86, 1545 MHz, 7000 MHz
2026/05/28 20:33:22.682, 95 %, 61 %, 3330 MiB, 8192 MiB, 105.64 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:33:23.749, 97 %, 62 %, 3330 MiB, 8192 MiB, 106.47 W, 86, 1275 MHz, 7000 MHz
2026/05/28 20:33:24.817, 96 %, 62 %, 3330 MiB, 8192 MiB, 106.82 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:33:25.887, 93 %, 61 %, 3330 MiB, 8192 MiB, 106.39 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:33:26.961, 93 %, 61 %, 3330 MiB, 8192 MiB, 106.67 W, 86, 1560 MHz, 7000 MHz
2026/05/28 20:33:28.029, 96 %, 62 %, 3330 MiB, 8192 MiB, 106.00 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:33:29.082, 97 %, 61 %, 3330 MiB, 8192 MiB, 105.79 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:33:30.161, 95 %, 61 %, 3330 MiB, 8192 MiB, 106.57 W, 86, 1380 MHz, 7000 MHz
2026/05/28 20:33:31.249, 96 %, 62 %, 3330 MiB, 8192 MiB, 106.64 W, 86, 1440 MHz, 7000 MHz
2026/05/28 20:33:32.338, 91 %, 58 %, 3330 MiB, 8192 MiB, 106.03 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:33:33.441, 96 %, 59 %, 3330 MiB, 8192 MiB, 117.65 W, 86, 1305 MHz, 7000 MHz
2026/05/28 20:33:34.534, 95 %, 61 %, 3330 MiB, 8192 MiB, 112.29 W, 86, 1380 MHz, 7000 MHz
2026/05/28 20:33:35.610, 97 %, 63 %, 3330 MiB, 8192 MiB, 89.01 W, 86, 1395 MHz, 7000 MHz
