step,elapsed_seconds,split,loss,learning_rate
100,17.535477895999065,train,4.403951644897461,0.00029699999999999996
100,17.535477895999065,valid,4.406538486480713,0.00029699999999999996
200,34.40180580299966,train,3.543640613555908,0.00029993338564937377
200,34.40180580299966,valid,3.5480334758758545,0.00029993338564937377
300,50.938660824998806,train,3.322070837020874,0.00029973091161446003
300,50.938660824998806,valid,3.2509734630584717,0.00029973091161446003
400,67.8061235109999,train,3.069167375564575,0.00029939277497220094
400,67.8061235109999,valid,2.995901346206665,0.00029939277497220094
500,84.71536627599926,train,2.956254720687866,0.0002989193161975326
500,84.71536627599926,valid,2.97825026512146,0.0002989193161975326
600,101.88324500599992,train,2.8673219680786133,0.00029831101202330764
600,101.88324500599992,valid,2.7983005046844482,0.00029831101202330764
700,119.07873414499954,train,2.7544209957122803,0.00029756847496026584
700,119.07873414499954,valid,2.736867904663086,0.00029756847496026584
800,136.38751923699965,train,2.682955265045166,0.00029669245268028745
800,136.38751923699965,valid,2.6765613555908203,0.00029669245268028745
900,153.93466437499956,train,2.6993846893310547,0.0002956838272635512
900,153.93466437499956,valid,2.6353042125701904,0.0002956838272635512
1000,171.56463529599932,train,2.5632808208465576,0.0002945436143103543
1000,171.56463529599932,valid,2.5905981063842773,0.0002945436143103543
1100,189.7464656939992,train,2.5654637813568115,0.00029327296191848884
1100,189.7464656939992,valid,2.601046562194824,0.00029327296191848884
1200,207.88163789200007,train,2.528639554977417,0.00029187314952720486
1200,207.88163789200007,valid,2.497321605682373,0.00029187314952720486
1300,226.1138561179996,train,2.4860503673553467,0.0002903455866289233
1300,226.1138561179996,valid,2.4818027019500732,0.0002903455866289233
1400,243.93068354099887,train,2.4524037837982178,0.00028869181134999684
1400,243.93068354099887,valid,2.473007917404175,0.00028869181134999684
1500,262.217787272999,train,2.4567625522613525,0.00028691348890194684
1500,262.217787272999,valid,2.4277961254119873,0.00028691348890194684
1600,280.4781660969984,train,2.4095914363861084,0.0002850124099047365
1600,280.4781660969984,valid,2.4399571418762207,0.0002850124099047365
1700,298.8088846219998,train,2.3150577545166016,0.0002829904885837685
1700,298.8088846219998,valid,2.284085512161255,0.0002829904885837685
1800,316.6889416359991,train,2.335465431213379,0.00028084976084242206
1800,316.6889416359991,valid,2.341054677963257,0.00028084976084242206
1900,334.863410852,train,2.3457746505737305,0.000278592382212071
1900,334.863410852,valid,2.2656960487365723,0.000278592382212071
2000,353.20860431599976,train,2.324794054031372,0.00027622062568164634
2000,353.20860431599976,valid,2.3781116008758545,0.00027622062568164634
2100,371.81951948999995,train,2.257688522338867,0.000273736879408929
2100,371.81951948999995,valid,2.2734313011169434,0.000273736879408929
2200,389.92110228899946,train,2.2334210872650146,0.0002711436443158774
2200,389.92110228899946,valid,2.2883753776550293,0.0002711436443158774
2300,408.2363663799988,train,2.2914979457855225,0.00026844353157041127
2300,408.2363663799988,valid,2.2392709255218506,0.00026844353157041127
2400,426.5685204049987,train,2.2222931385040283,0.00026563925995718633
2400,426.5685204049987,valid,2.2972280979156494,0.00026563925995718633
2500,445.02628674399966,train,2.181251287460327,0.00026273365314000933
2500,445.02628674399966,valid,2.302009105682373,0.00026273365314000933
2600,463.56955738099896,train,2.2247836589813232,0.0002597296368186474
2600,463.56955738099896,valid,2.213588237762451,0.0002597296368186474
2700,482.11712855299993,train,2.1204593181610107,0.0002566302357828965
2700,482.11712855299993,valid,2.2405238151550293,0.0002566302357828965
2800,500.541494305,train,2.1614761352539062,0.0002534385708668748
