elapsed_seconds,timestamp,index,name,gpu_util_percent,mem_util_percent,mem_used_mib,mem_total_mib,power_w,temp_c
3.592988,2026/05/30 14:09:07.513,0,NVIDIA B200,0,0,0,183359,147.23,31
4.654372,2026/05/30 14:09:08.565,0,NVIDIA B200,0,0,27,183359,161.26,31
5.697082,2026/05/30 14:09:09.618,0,NVIDIA B200,0,0,724,183359,206.66,32
6.743427,2026/05/30 14:09:10.667,0,NVIDIA B200,0,0,724,183359,206.57,32
7.791505,2026/05/30 14:09:11.711,0,NVIDIA B200,0,0,2442,183359,207.48,32
8.839837,2026/05/30 14:09:12.760,0,NVIDIA B200,22,5,16840,183359,267.61,33
9.879796,2026/05/30 14:09:13.802,0,NVIDIA B200,97,29,16844,183359,698.91,43
10.958090,2026/05/30 14:09:14.871,0,NVIDIA B200,94,27,16844,183359,740.21,43
11.997441,2026/05/30 14:09:15.919,0,NVIDIA B200,96,26,16844,183359,731.28,43
13.079491,2026/05/30 14:09:16.981,0,NVIDIA B200,96,26,16844,183359,739.41,45
14.149017,2026/05/30 14:09:18.063,0,NVIDIA B200,96,27,16844,183359,740.07,44
15.196530,2026/05/30 14:09:19.110,0,NVIDIA B200,96,27,16844,183359,736.47,44
16.259682,2026/05/30 14:09:20.168,0,NVIDIA B200,96,28,16844,183359,733.89,45
17.302989,2026/05/30 14:09:21.218,0,NVIDIA B200,96,27,16844,183359,741.02,45
18.345021,2026/05/30 14:09:22.266,0,NVIDIA B200,96,28,16844,183359,740.91,45
19.580665,2026/05/30 14:09:23.491,0,NVIDIA B200,97,29,16844,183359,734.09,45
20.628963,2026/05/30 14:09:24.543,0,NVIDIA B200,99,29,16844,183359,733.65,46
21.691723,2026/05/30 14:09:25.602,0,NVIDIA B200,98,27,16844,183359,770.99,47
22.736566,2026/05/30 14:09:26.660,0,NVIDIA B200,98,27,16844,183359,771.48,47
23.777818,2026/05/30 14:09:27.699,0,NVIDIA B200,96,28,16846,183359,748.73,46
24.823472,2026/05/30 14:09:28.743,0,NVIDIA B200,99,29,16846,183359,744.85,47
25.866039,2026/05/30 14:09:29.789,0,NVIDIA B200,97,31,16846,183359,745.45,45
26.954197,2026/05/30 14:09:30.833,0,NVIDIA B200,99,28,16846,183359,746.41,46
27.998711,2026/05/30 14:09:31.916,0,NVIDIA B200,96,30,16846,183359,747.09,47
29.068539,2026/05/30 14:09:32.979,0,NVIDIA B200,96,28,16846,183359,748.98,47
30.141508,2026/05/30 14:09:34.039,0,NVIDIA B200,96,30,16846,183359,743.43,48
31.187257,2026/05/30 14:09:35.108,0,NVIDIA B200,96,27,16846,183359,749.63,47
32.288982,2026/05/30 14:09:36.186,0,NVIDIA B200,98,29,16846,183359,750.28,49
33.343744,2026/05/30 14:09:37.262,0,NVIDIA B200,96,30,16846,183359,747.37,48
34.399849,2026/05/30 14:09:38.321,0,NVIDIA B200,99,29,16846,183359,748.03,47
35.463406,2026/05/30 14:09:39.382,0,NVIDIA B200,97,28,16846,183359,765.93,48
36.501909,2026/05/30 14:09:40.422,0,NVIDIA B200,98,26,16846,183359,773.62,48
37.546078,2026/05/30 14:09:41.466,0,NVIDIA B200,97,31,16846,183359,756.32,49
38.592260,2026/05/30 14:09:42.509,0,NVIDIA B200,99,29,16846,183359,750.68,49
39.644659,2026/05/30 14:09:43.562,0,NVIDIA B200,96,29,16846,183359,748.25,49
40.684690,2026/05/30 14:09:44.605,0,NVIDIA B200,96,26,16846,183359,749.06,49
41.729987,2026/05/30 14:09:45.651,0,NVIDIA B200,97,30,16846,183359,752.49,49
42.776187,2026/05/30 14:09:46.697,0,NVIDIA B200,97,28,16846,183359,756.38,48
43.824655,2026/05/30 14:09:47.743,0,NVIDIA B200,97,27,16846,183359,751.64,48
45.170564,2026/05/30 14:09:49.004,0,NVIDIA B200,96,28,16846,183359,746.45,49
46.261410,2026/05/30 14:09:50.167,0,NVIDIA B200,96,27,16846,183359,753.01,49
47.645969,2026/05/30 14:09:51.442,0,NVIDIA B200,96,28,16846,183359,755.65,47
48.700486,2026/05/30 14:09:52.611,0,NVIDIA B200,95,26,16846,183359,751.79,49
49.770559,2026/05/30 14:09:53.666,0,NVIDIA B200,98,27,16846,183359,775.34,49
50.824119,2026/05/30 14:09:54.730,0,NVIDIA B200,97,28,16846,183359,774.95,50
51.870799,2026/05/30 14:09:55.793,0,NVIDIA B200,97,29,16846,183359,750.87,50
52.917192,2026/05/30 14:09:56.836,0,NVIDIA B200,96,26,16846,183359,750.59,49
53.971266,2026/05/30 14:09:57.889,0,NVIDIA B200,97,29,16846,183359,752.81,50
55.050003,2026/05/30 14:09:58.962,0,NVIDIA B200,96,27,16846,183359,755.09,50
56.161330,2026/05/30 14:10:00.033,0,NVIDIA B200,99,28,16846,183359,748.16,49
57.227330,2026/05/30 14:10:01.138,0,NVIDIA B200,96,29,16846,183359,753.46,50
58.284165,2026/05/30 14:10:02.203,0,NVIDIA B200,96,28,16846,183359,752.02,48
59.391062,2026/05/30 14:10:03.287,0,NVIDIA B200,97,29,16846,183359,751.55,51
60.439777,2026/05/30 14:10:04.362,0,NVIDIA B200,96,27,16846,183359,751.85,48
61.496517,2026/05/30 14:10:05.414,0,NVIDIA B200,99,29,16846,183359,750.46,49
62.581470,2026/05/30 14:10:06.491,0,NVIDIA B200,97,31,16846,183359,756.29,49
63.624845,2026/05/30 14:10:07.548,0,NVIDIA B200,98,27,16846,183359,777.05,50
64.671096,2026/05/30 14:10:08.590,0,NVIDIA B200,98,27,16846,183359,776.50,50
65.716939,2026/05/30 14:10:09.636,0,NVIDIA B200,99,29,16846,183359,749.07,50
66.765719,2026/05/30 14:10:10.686,0,NVIDIA B200,97,28,16846,183359,754.55,49
67.819697,2026/05/30 14:10:11.738,0,NVIDIA B200,99,29,16846,183359,752.03,50
68.878369,2026/05/30 14:10:12.788,0,NVIDIA B200,97,27,16846,183359,752.56,49
69.988071,2026/05/30 14:10:13.895,0,NVIDIA B200,97,28,16846,183359,751.35,48
71.071284,2026/05/30 14:10:14.985,0,NVIDIA B200,99,29,16846,183359,747.62,49
72.456800,2026/05/30 14:10:16.132,0,NVIDIA B200,97,29,16846,183359,752.88,50
73.495709,2026/05/30 14:10:17.416,0,NVIDIA B200,96,28,16846,183359,751.19,50
74.569447,2026/05/30 14:10:18.482,0,NVIDIA B200,96,27,16846,183359,753.95,50
75.615663,2026/05/30 14:10:19.537,0,NVIDIA B200,96,27,16846,183359,757.41,50
76.672870,2026/05/30 14:10:20.595,0,NVIDIA B200,98,26,16846,183359,753.75,50
77.836498,2026/05/30 14:10:21.754,0,NVIDIA B200,96,27,16846,183359,777.10,50
78.880373,2026/05/30 14:10:22.804,0,NVIDIA B200,96,27,16846,183359,774.26,48
79.919960,2026/05/30 14:10:23.842,0,NVIDIA B200,96,27,16846,183359,750.16,51
80.964435,2026/05/30 14:10:24.878,0,NVIDIA B200,96,26,16846,183359,744.68,48
82.009158,2026/05/30 14:10:25.933,0,NVIDIA B200,97,28,16846,183359,753.95,49
83.073140,2026/05/30 14:10:26.983,0,NVIDIA B200,96,27,16846,183359,756.98,50
84.231711,2026/05/30 14:10:28.098,0,NVIDIA B200,96,26,16846,183359,751.27,49
85.278527,2026/05/30 14:10:29.199,0,NVIDIA B200,99,29,16846,183359,754.25,51
86.330012,2026/05/30 14:10:30.246,0,NVIDIA B200,96,28,16846,183359,758.58,49
87.372616,2026/05/30 14:10:31.296,0,NVIDIA B200,98,28,16846,183359,751.57,50
88.416949,2026/05/30 14:10:32.338,0,NVIDIA B200,96,27,16846,183359,750.65,50
90.171849,2026/05/30 14:10:33.430,0,NVIDIA B200,97,28,16846,183359,754.71,50
91.217257,2026/05/30 14:10:35.138,0,NVIDIA B200,98,27,16846,183359,769.24,50
92.300538,2026/05/30 14:10:36.215,0,NVIDIA B200,98,28,16846,183359,777.09,50
93.353447,2026/05/30 14:10:37.275,0,NVIDIA B200,96,28,16846,183359,759.32,50
94.398172,2026/05/30 14:10:38.318,0,NVIDIA B200,97,29,16846,183359,756.28,49
95.463965,2026/05/30 14:10:39.383,0,NVIDIA B200,97,31,16846,183359,755.77,50
96.502265,2026/05/30 14:10:40.423,0,NVIDIA B200,96,28,16846,183359,749.64,49
97.533883,2026/05/30 14:10:41.458,0,NVIDIA B200,97,28,16846,183359,753.94,50
98.574082,2026/05/30 14:10:42.494,0,NVIDIA B200,96,28,16846,183359,750.42,49
99.608599,2026/05/30 14:10:43.531,0,NVIDIA B200,97,29,16846,183359,758.95,51
100.642576,2026/05/30 14:10:44.566,0,NVIDIA B200,97,27,16846,183359,757.40,48
101.679324,2026/05/30 14:10:45.600,0,NVIDIA B200,99,28,16846,183359,756.70,49
102.724070,2026/05/30 14:10:46.644,0,NVIDIA B200,96,31,16846,183359,753.97,50
103.759529,2026/05/30 14:10:47.683,0,NVIDIA B200,99,28,16846,183359,758.02,49
104.798883,2026/05/30 14:10:48.720,0,NVIDIA B200,98,27,16846,183359,761.46,51
105.846258,2026/05/30 14:10:49.768,0,NVIDIA B200,98,26,16846,183359,773.70,51
106.900099,2026/05/30 14:10:50.824,0,NVIDIA B200,96,32,16846,183359,774.55,50
107.973923,2026/05/30 14:10:51.882,0,NVIDIA B200,99,29,16846,183359,755.76,49
109.065336,2026/05/30 14:10:52.972,0,NVIDIA B200,96,30,16846,183359,754.93,50
110.210389,2026/05/30 14:10:54.089,0,NVIDIA B200,96,28,16846,183359,754.26,50
111.247241,2026/05/30 14:10:55.171,0,NVIDIA B200,99,30,16846,183359,755.42,51
112.292036,2026/05/30 14:10:56.209,0,NVIDIA B200,97,29,16846,183359,756.87,50
113.338329,2026/05/30 14:10:57.255,0,NVIDIA B200,97,28,16846,183359,753.13,50
114.399281,2026/05/30 14:10:58.319,0,NVIDIA B200,96,28,16846,183359,754.04,50
115.461002,2026/05/30 14:10:59.376,0,NVIDIA B200,96,28,16846,183359,757.10,50
116.496797,2026/05/30 14:11:00.419,0,NVIDIA B200,99,29,16846,183359,751.91,50
117.554406,2026/05/30 14:11:01.478,0,NVIDIA B200,96,29,16846,183359,756.86,49
118.600372,2026/05/30 14:11:02.519,0,NVIDIA B200,98,26,16846,183359,766.44,51
119.649173,2026/05/30 14:11:03.562,0,NVIDIA B200,98,27,16846,183359,780.10,50
120.685361,2026/05/30 14:11:04.607,0,NVIDIA B200,99,29,16846,183359,773.27,51
121.720562,2026/05/30 14:11:05.642,0,NVIDIA B200,97,28,16846,183359,751.91,50
122.753381,2026/05/30 14:11:06.677,0,NVIDIA B200,97,27,16846,183359,756.24,51
123.800073,2026/05/30 14:11:07.722,0,NVIDIA B200,97,27,16846,183359,754.59,49
124.848516,2026/05/30 14:11:08.770,0,NVIDIA B200,96,28,16846,183359,754.91,50
125.897453,2026/05/30 14:11:09.820,0,NVIDIA B200,97,27,16846,183359,753.24,50
126.947651,2026/05/30 14:11:10.869,0,NVIDIA B200,97,28,16846,183359,759.60,51
127.998245,2026/05/30 14:11:11.918,0,NVIDIA B200,96,29,16846,183359,755.42,50
129.063865,2026/05/30 14:11:12.984,0,NVIDIA B200,99,28,16846,183359,754.43,50
130.211230,2026/05/30 14:11:14.074,0,NVIDIA B200,97,28,16846,183359,761.64,50
131.287839,2026/05/30 14:11:15.185,0,NVIDIA B200,96,28,16846,183359,753.11,50
132.329989,2026/05/30 14:11:16.248,0,NVIDIA B200,95,26,16846,183359,755.11,50
133.396214,2026/05/30 14:11:17.311,0,NVIDIA B200,98,28,16846,183359,777.75,51
134.434517,2026/05/30 14:11:18.358,0,NVIDIA B200,98,27,16846,183359,776.72,51
135.495718,2026/05/30 14:11:19.410,0,NVIDIA B200,96,28,16846,183359,753.94,49
136.564592,2026/05/30 14:11:20.485,0,NVIDIA B200,97,28,16846,183359,759.67,51
137.618259,2026/05/30 14:11:21.538,0,NVIDIA B200,96,29,16846,183359,756.32,50
138.707431,2026/05/30 14:11:22.604,0,NVIDIA B200,97,26,16846,183359,752.37,50
139.772504,2026/05/30 14:11:23.689,0,NVIDIA B200,97,28,16846,183359,752.77,50
140.820109,2026/05/30 14:11:24.741,0,NVIDIA B200,97,27,16846,183359,752.18,49
141.864496,2026/05/30 14:11:25.785,0,NVIDIA B200,97,29,16846,183359,752.03,51
142.933015,2026/05/30 14:11:26.855,0,NVIDIA B200,97,27,16846,183359,747.36,50
143.997699,2026/05/30 14:11:27.917,0,NVIDIA B200,97,28,16846,183359,757.75,51
145.046052,2026/05/30 14:11:28.964,0,NVIDIA B200,96,31,16846,183359,754.83,50
146.106621,2026/05/30 14:11:30.009,0,NVIDIA B200,98,28,16846,183359,756.45,50
147.145358,2026/05/30 14:11:31.067,0,NVIDIA B200,98,26,16846,183359,773.44,51
148.205402,2026/05/30 14:11:32.121,0,NVIDIA B200,98,27,16846,183359,776.98,51
149.249681,2026/05/30 14:11:33.174,0,NVIDIA B200,96,28,16846,183359,427.76,48
150.308029,2026/05/30 14:11:34.229,0,NVIDIA B200,96,27,16846,183359,750.67,50
151.350122,2026/05/30 14:11:35.270,0,NVIDIA B200,97,28,16846,183359,755.86,51
152.409451,2026/05/30 14:11:36.330,0,NVIDIA B200,96,29,16846,183359,757.20,50
153.471218,2026/05/30 14:11:37.391,0,NVIDIA B200,99,29,16846,183359,757.36,50
154.558966,2026/05/30 14:11:38.447,0,NVIDIA B200,97,28,16846,183359,751.90,51
155.610234,2026/05/30 14:11:39.526,0,NVIDIA B200,97,28,16846,183359,756.08,50
156.659416,2026/05/30 14:11:40.582,0,NVIDIA B200,97,29,16846,183359,757.81,51
157.702670,2026/05/30 14:11:41.625,0,NVIDIA B200,96,27,16846,183359,758.09,50
158.745720,2026/05/30 14:11:42.669,0,NVIDIA B200,99,28,16846,183359,751.29,51
159.783018,2026/05/30 14:11:43.705,0,NVIDIA B200,96,30,16846,183359,752.67,49
160.827860,2026/05/30 14:11:44.752,0,NVIDIA B200,99,28,16846,183359,752.08,50
161.864469,2026/05/30 14:11:45.787,0,NVIDIA B200,98,27,16846,183359,779.90,51
162.915817,2026/05/30 14:11:46.835,0,NVIDIA B200,98,28,16846,183359,776.40,51
163.971374,2026/05/30 14:11:47.890,0,NVIDIA B200,97,31,16846,183359,756.88,49
165.043007,2026/05/30 14:11:48.957,0,NVIDIA B200,99,28,16846,183359,748.83,50
166.085137,2026/05/30 14:11:50.009,0,NVIDIA B200,96,27,16846,183359,752.63,50
167.129943,2026/05/30 14:11:51.051,0,NVIDIA B200,97,27,16846,183359,759.85,51
168.225962,2026/05/30 14:11:52.125,0,NVIDIA B200,97,28,16846,183359,755.86,50
169.270232,2026/05/30 14:11:53.186,0,NVIDIA B200,97,28,16846,183359,758.49,50
170.326640,2026/05/30 14:11:54.232,0,NVIDIA B200,96,27,16846,183359,752.74,51
171.369441,2026/05/30 14:11:55.292,0,NVIDIA B200,96,28,16846,183359,754.49,50
172.418185,2026/05/30 14:11:56.337,0,NVIDIA B200,99,29,16846,183359,755.95,51
173.470253,2026/05/30 14:11:57.386,0,NVIDIA B200,97,29,16846,183359,754.25,50
174.506953,2026/05/30 14:11:58.429,0,NVIDIA B200,99,29,16846,183359,756.36,51
176.098330,2026/05/30 14:11:59.675,0,NVIDIA B200,98,27,16846,183359,773.84,51
177.149681,2026/05/30 14:12:01.068,0,NVIDIA B200,97,28,16846,183359,773.54,50
178.266977,2026/05/30 14:12:02.185,0,NVIDIA B200,96,28,16846,183359,752.41,49
179.309465,2026/05/30 14:12:03.233,0,NVIDIA B200,97,27,16846,183359,750.49,50
180.352669,2026/05/30 14:12:04.276,0,NVIDIA B200,97,28,16846,183359,753.64,50
181.395719,2026/05/30 14:12:05.319,0,NVIDIA B200,97,29,16846,183359,759.95,52
182.448495,2026/05/30 14:12:06.371,0,NVIDIA B200,96,31,16846,183359,758.30,50
184.262301,2026/05/30 14:12:07.431,0,NVIDIA B200,97,28,16846,183359,754.66,50
185.304394,2026/05/30 14:12:09.226,0,NVIDIA B200,97,29,16846,183359,751.46,50
186.350522,2026/05/30 14:12:10.269,0,NVIDIA B200,97,29,16846,183359,758.16,49
187.438901,2026/05/30 14:12:11.333,0,NVIDIA B200,99,29,16846,183359,750.12,50
188.478037,2026/05/30 14:12:12.401,0,NVIDIA B200,96,28,16846,183359,752.65,50
189.528171,2026/05/30 14:12:13.445,0,NVIDIA B200,98,26,16846,183359,773.72,51
190.585965,2026/05/30 14:12:14.503,0,NVIDIA B200,98,28,16846,183359,776.96,51
191.623303,2026/05/30 14:12:15.545,0,NVIDIA B200,99,30,16846,183359,762.09,50
192.763386,2026/05/30 14:12:16.637,0,NVIDIA B200,97,29,16846,183359,759.22,51
193.815973,2026/05/30 14:12:17.736,0,NVIDIA B200,97,27,16846,183359,759.01,51
194.872555,2026/05/30 14:12:18.791,0,NVIDIA B200,97,29,16846,183359,754.16,50
195.928877,2026/05/30 14:12:19.837,0,NVIDIA B200,96,28,16846,183359,759.34,50
196.981007,2026/05/30 14:12:20.902,0,NVIDIA B200,99,30,16846,183359,751.42,51
198.033164,2026/05/30 14:12:21.951,0,NVIDIA B200,97,27,16846,183359,748.16,50
199.077571,2026/05/30 14:12:22.999,0,NVIDIA B200,97,28,16846,183359,753.60,51
200.160128,2026/05/30 14:12:24.039,0,NVIDIA B200,96,28,16846,183359,759.59,50
