step,elapsed_seconds,split,loss,learning_rate
100,15.739362698999999,train,3.1865227222442627,0.0012375
100,15.739362698999999,valid,3.1792616844177246,0.0012375
200,29.698120640999996,train,2.5496299266815186,0.0012497224402057243
200,29.698120640999996,valid,2.5568010807037354,0.0012497224402057243
300,43.654049072,train,2.3266096115112305,0.0012488787983935836
300,43.654049072,valid,2.3314907550811768,0.0012488787983935836
400,57.601786411,train,2.2146501541137695,0.0012474698957175043
400,57.601786411,valid,2.199836254119873,0.0012474698957175043
500,71.55262712000001,train,2.1195785999298096,0.0012454971508230528
500,71.55262712000001,valid,2.1124370098114014,0.0012454971508230528
600,85.50771147900001,train,2.067338705062866,0.0012429625500971157
600,85.50771147900001,valid,2.5122835636138916,0.0012429625500971157
700,99.45199103600001,train,2.0720627307891846,0.0012398686456677743
700,99.45199103600001,valid,2.055626392364502,0.0012398686456677743
800,113.39995524400001,train,1.976458191871643,0.0012362185528345315
800,113.39995524400001,valid,2.061398506164551,0.0012362185528345315
900,127.337815002,train,1.9652719497680664,0.0012320159469314637
900,127.337815002,valid,2.5781257152557373,0.0012320159469314637
1000,141.28057008,train,1.9333010911941528,0.0012272650596264765
1000,141.28057008,valid,1.9285207986831665,0.0012272650596264765
1100,155.846871479,train,1.9147697687149048,0.0012219706746603703
1100,155.846871479,valid,1.9072563648223877,0.0012219706746603703
1200,169.79137461,train,1.8927525281906128,0.0012161381230300205
1200,169.79137461,valid,1.8961158990859985,0.0012161381230300205
1300,183.733762249,train,1.8724422454833984,0.0012097732776205142
1300,183.733762249,valid,1.8691587448120117,0.0012097732776205142
1400,197.672880448,train,1.846136212348938,0.001202882547291654
1400,197.672880448,valid,1.8511699438095093,0.001202882547291654
1500,211.609999537,train,1.8353718519210815,0.0011954728704247786
1500,211.609999537,valid,1.8282657861709595,0.0011954728704247786
1600,225.540640398,train,1.8103057146072388,0.0011875517079364024
1600,225.540640398,valid,1.8009023666381836,0.0011875517079364024
1700,239.481061437,train,2.2140655517578125,0.0011791270357657023
1700,239.481061437,valid,1.8231282234191895,0.0011791270357657023
1800,253.42172429099998,train,11.677460670471191,0.0011702073368434255
1800,253.42172429099998,valid,1.9205878973007202,0.0011702073368434255
1900,267.363325449,train,1.7952758073806763,0.001160801592550296
1900,267.363325449,valid,1.7945982217788696,0.001160801592550296
2000,281.301600926,train,1.7711912393569946,0.0011509192736735268
2000,281.301600926,valid,1.7841343879699707,0.0011509192736735268
2100,295.84924197699996,train,1.7617653608322144,0.0011405703308705376
2100,295.84924197699996,valid,1.752853274345398,0.0011405703308705376
2200,309.78642949,train,1.7929729223251343,0.0011297651846494893
2200,309.78642949,valid,1.784879446029663,0.0011297651846494893
2300,323.717721165,train,1.7256829738616943,0.001118514714876714
2300,323.717721165,valid,1.7459629774093628,0.001118514714876714
2400,337.65122139199997,train,1.7407430410385132,0.00110683024982161
2400,337.65122139199997,valid,1.7310237884521484,0.00110683024982161
2500,351.58163415,train,1.7380911111831665,0.0010947235547500392
2500,351.58163415,valid,1.734421730041504,0.0010947235547500392
2600,365.507776181,train,1.7208806276321411,0.0010822068200776976
2600,365.507776181,valid,1.7044488191604614,0.0010822068200776976
2700,379.437208936,train,1.7102875709533691,0.0010692926490954023
2700,379.437208936,valid,1.698115348815918,0.0010692926490954023
2800,393.37870098499997,train,1.6976548433303833,0.0010559940452786452
2800,393.37870098499997,valid,1.69291090965271,0.0010559940452786452
2900,407.322519998,train,1.6844655275344849,0.001042324399194195
2900,407.322519998,valid,1.694203495979309,0.001042324399194195
3000,421.250931762,train,1.6832937002182007,0.0010282974750169325
3000,421.250931762,valid,1.6857407093048096,0.0010282974750169325
3100,435.823188803,train,1.6757546663284302,0.001013927396670493
3100,435.823188803,valid,1.6747301816940308,0.001013927396670493
3200,449.753167426,train,1.6516542434692383,0.000999228633605672
3200,449.753167426,valid,1.6741087436676025,0.000999228633605672
3300,463.685514948,train,1.6618345975875854,0.0009842159862309147
3300,463.685514948,valid,1.6589804887771606,0.0009842159862309147
3400,477.622748047,train,1.6496626138687134,0.0009689045710095602
3400,477.622748047,valid,1.6677812337875366,0.0009689045710095602
3500,491.563424026,train,1.6713188886642456,0.000953309805238843
3500,491.563424026,valid,1.6613277196884155,0.000953309805238843
3600,505.508423801,train,1.6602451801300049,0.0009374473915259826
3600,505.508423801,valid,1.6375869512557983,0.0009374473915259826
3700,519.4412785190001,train,1.64400053024292,0.0009213333019769889
3700,519.4412785190001,valid,1.6459819078445435,0.0009213333019769889
3800,533.365368822,train,1.6281172037124634,0.0009049837621141045
3800,533.365368822,valid,1.6338952779769897,0.0009049837621141045
3900,547.2980781120001,train,1.6179420948028564,0.0008884152345380803
3900,547.2980781120001,valid,1.6235893964767456,0.0008884152345380803
